iter	Passed	Remaining
0	0	95
1	1	89
2	2	87
3	3	82
4	4	83
5	5	81
6	6	80
7	6	80
8	7	79
9	8	78
10	9	78
11	10	79
12	11	78
13	12	78
14	13	77
15	14	77
16	15	77
17	16	76
18	17	75
19	18	75
20	19	74
21	20	73
22	21	73
23	22	72
24	24	72
25	25	71
26	26	70
27	27	69
28	28	68
29	29	67
30	30	66
31	30	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	39	56
41	39	54
42	40	53
43	41	52
44	42	52
45	43	51
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	50	43
54	51	42
55	52	41
56	53	40
57	54	39
58	55	38
59	56	37
60	56	36
61	57	35
62	58	34
63	59	33
64	60	32
65	61	31
66	62	30
67	63	29
68	64	28
69	65	27
70	65	26
71	66	25
72	67	25
73	68	24
74	69	23
75	70	22
76	71	21
77	72	20
78	72	19
79	73	18
80	74	17
81	75	16
82	76	15
83	77	14
84	78	13
85	79	12
86	80	11
87	80	11
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	86	5
94	87	4
95	88	3
96	89	2
97	89	1
98	90	0
99	91	0
